Year,Make,Sales
2025,Toyota,120978
2025,Ford,47300
2025,Mazda,48942
2025,Kia,40750
2025,Hyundai,38948
2025,Mitsubishi,33379
2025,GWM,25189
2025,BYD,23355
2025,MG,21674
2025,Isuzu,21883
2024,Toyota,241296
2024,Ford,100170
2024,Mazda,95987
2024,Kia,81787
2024,Mitsubishi,74587
2024,Hyundai,71664
2024,MG,50592
2024,Isuzu,48172
2024,Nissan,45284
2024,GWM,42782
2023,Toyota,215240
2023,Mazda,100008
2023,Ford,87800
2023,Kia,76120
2023,Hyundai,75183
2023,Mitsubishi,63511
2023,MG,58346
2023,Tesla,46116
2023,Subaru,46114
2023,Isuzu,45341
2022,Toyota,231050
2022,Mazda,95718
2022,Kia,78330
2022,Mitsubishi,76991
2022,Hyundai,73345
2022,Ford,66628
2022,MG,49582
2022,Subaru,36036
2022,Isuzu,35323
2022,Mercedes,31281
2021,Toyota,223642
2021,Mazda,101119
2021,Hyundai,72872
2021,Ford,71380
2021,Kia,67964
2021,Mitsubishi,67732
2021,Nissan,41263
2021,Volkswagen,40770
2021,MG,39025
2021,Subaru,37015
2020,Toyota,204801
2020,Mazda,85640
2020,Hyundai,64807
2020,Ford,59601
2020,Mitsubishi,58335
2020,Kia,56706
2020,Volkswagen,39266
2020,Nissan,38323
2020,Mercedes,36233
2020,Subaru,31501
